Date,Open,High,Low,Close
09/28/2023,1594.32,1665.41,1592.97,1657.07
09/27/2023,1586.19,1632.16,1583.53,1594.33
09/26/2023,1586.68,1597.86,1580.35,1586.61
09/25/2023,1590.66,1596.17,1564.11,1586.68
09/24/2023,1593.68,1600.5,1579.73,1590.66
09/23/2023,1591.52,1598,1588.21,1593.68
09/22/2023,1586.76,1601.89,1578.97,1591.06
09/21/2023,1624.13,1629.32,1568.91,1588.24
09/20/2023,1642.62,1649.28,1607.55,1623.35
09/19/2023,1638.01,1659.86,1627.67,1642.87
09/18/2023,1616.4,1669.01,1609.92,1638.02
09/17/2023,1635.44,1638.21,1615.31,1617.37
09/16/2023,1621.9,1651.97,1621.9,1635.44
09/15/2023,1626.52,1636.09,1612.62,1621.5
09/14/2023,1604.01,1639.83,1603.23,1628.99
09/13/2023,1597.61,1610.15,1582,1604.73
09/12/2023,1541.43,1617.74,1538.9,1599.23
09/11/2023,1618.62,1627,1532,1540.25
09/10/2023,1633.73,1636.68,1603.89,1619.14
09/09/2023,1636.28,1637.92,1629.73,1633.73
09/08/2023,1639,1657.78,1617.35,1636.05
09/07/2023,1628,1640.82,1623.08,1638.72
09/06/2023,1629.23,1657.18,1612.1,1628
09/05/2023,1627.9,1645.5,1609.63,1629.31
09/04/2023,1642.73,1645.39,1620.53,1627.1
09/03/2023,1634.3,1645.36,1625.25,1642.73
09/02/2023,1628,1644.46,1624.72,1634.45
09/01/2023,1648.08,1654,1603.23,1629.34
08/31/2023,1704.11,1720.08,1646.51,1647.42
08/30/2023,1727.26,1734.73,1696.46,1703.25
08/29/2023,1645.84,1747.2,1639.14,1727.69
08/28/2023,1653.31,1662.82,1624.75,1645.84
08/27/2023,1646.67,1659.25,1645.05,1653.31
08/26/2023,1649.25,1654.73,1643.24,1646.92
08/25/2023,1648.3,1673.02,1635.29,1649.52
08/24/2023,1684.14,1684.92,1638.01,1648.3
08/23/2023,1630.6,1696.98,1590.61,1684.34
08/22/2023,1672.5,1674.77,1620.61,1630.52
08/21/2023,1688.98,1689.79,1651.18,1672.5
08/20/2023,1670.9,1692.93,1662.04,1688.54
08/19/2023,1656.97,1693.38,1653.89,1671.39
08/18/2023,1716.26,1719.84,1558.8,1657.64
08/17/2023,1807.93,1813.43,1708.2,1715.99
08/16/2023,1827.76,1829.71,1800.13,1807.39
08/15/2023,1843.1,1845.22,1813.02,1827.97
08/14/2023,1853.18,1853.69,1833.57,1843.1
08/13/2023,1846.59,1860.09,1845.43,1853.18
08/12/2023,1843.93,1852.45,1842.23,1846.64
08/11/2023,1848.25,1855,1837.33,1843.93
08/10/2023,1851.6,1863.91,1845.31,1848.25
08/09/2023,1863.42,1873.65,1845.45,1851.6
08/08/2023,1826.46,1870,1823.01,1863.42
08/07/2023,1829.41,1843.09,1803.02,1825.17
08/06/2023,1832.41,1836.41,1824.3,1828.82
08/05/2023,1819.84,1836.34,1819.6,1832.41
08/04/2023,1842.46,1849.56,1813.84,1820.65
08/03/2023,1841.24,1856.95,1824.08,1843.43
08/02/2023,1849.31,1878.88,1821.86,1841.11
08/01/2023,1853.07,1863.76,1819.82,1849.42
07/31/2023,1864.68,1875.63,1852,1853.28
07/30/2023,1885,1885.72,1850.45,1864.68
07/29/2023,1876.17,1885,1870.56,1884.26
07/28/2023,1858.85,1881.56,1854.95,1876.17
07/27/2023,1882.1,1884.8,1856.03,1858.85
07/26/2023,1861.74,1886.65,1848.56,1882.11
07/25/2023,1850.76,1866.66,1845.92,1861.73
07/24/2023,1892,1893.42,1832.51,1850.79
07/23/2023,1887.83,1903.17,1854.01,1891.99
07/22/2023,1894.77,1896.69,1883.31,1888.5
07/21/2023,1887.76,1904.24,1884.94,1894.77
07/20/2023,1897.75,1927,1879.5,1887.27
07/19/2023,1894.84,1918.47,1893.31,1899
07/18/2023,1890.35,1919.69,1880.27,1894.84
07/17/2023,1929.02,1937.62,1875.01,1890.35
07/16/2023,1931.84,1943.05,1916.35,1928.67
07/15/2023,1915.45,1946.92,1915.45,1932.03
07/14/2023,1983.8,2027.41,1900.63,1916.38
07/13/2023,1872,2011.88,1864.56,1984
07/12/2023,1874.62,1901.01,1867.58,1871.99
07/11/2023,1891.95,1892.76,1862.67,1874.76
